,Case.ID,CD3D,CD3E,CD3G
207,TCGA-HT-7882,2.6264,2.5035,3.4362
208,TCGA-HT-7467,0.2919,-0.5086,-0.6677
209,TCGA-TM-A84I,-0.8229,0.2672,0.5382
210,TCGA-VM-A8CA,-0.95,0.2624,-0.7051
211,TCGA-E1-A7YJ,1.1934,1.2942,0.4647
212,TCGA-HT-7680,0.7481,0.6774,0.7796
213,TCGA-HT-7611,0.162,0.045,-0.9492
214,TCGA-DB-A75P,0.9185,1.9584,0.3723
215,TCGA-HT-7687,1.0118,0.7993,0.4421
216,TCGA-HT-7695,-0.5926,-0.8159,-1.3337
217,TCGA-R8-A6MK,-1.3682,-1.9298,-1.3337
218,TCGA-DB-A4XC,-1.3682,-0.2589,-1.3337
219,TCGA-DH-A669,0.7916,0.9461,0.1924
220,TCGA-VM-A8C9,2.9269,2.3492,-0.6325
221,TCGA-S9-A7QX,-0.7501,-1.2046,-1.3337
222,TCGA-DB-5274,1.8065,1.2568,-1.3337
223,TCGA-HT-7468,-0.0808,0.5598,0.4787
224,TCGA-HT-7881,-0.5574,-0.3758,-0.1149
225,TCGA-HT-7607,-0.8807,-0.4251,0.2394
226,TCGA-HT-A61A,-0.9945,-0.3881,-0.3702
227,TCGA-HT-7693,0.4629,0.7241,-0.0417
228,TCGA-HT-7616,2.2886,2.2563,2.3045
229,TCGA-HT-7874,-1.3682,-0.9203,-1.3337
230,TCGA-FG-7643,0.447,0.3807,0.73
231,TCGA-DU-8163,1.3287,1.1282,0.5831
232,TCGA-HT-7482,-0.4935,-1.0402,-1.3337
233,TCGA-HT-7881,-0.5574,-0.3758,-0.1149
234,TCGA-HT-7473,1.04,1.1877,1.1588
235,TCGA-DB-A75P,0.9185,1.9584,0.3723
236,TCGA-HT-7882,2.6264,2.5035,3.4362
237,TCGA-CS-5395,-0.6609,-0.3124,-0.545
238,TCGA-HT-7691,-0.0289,0.4513,-0.0972
239,TCGA-S9-A7IX,-0.3461,0.3825,0.3513
240,TCGA-E1-A7YH,-1.0618,-0.7592,-1.3337
241,TCGA-S9-A7J0,-1.3682,-0.6699,-1.3337
242,TCGA-HW-7489,-1.0853,-1.6801,-1.3337
243,TCGA-HT-8013,-0.9212,-0.9036,-0.9585
244,TCGA-P5-A733,-0.7244,-1.5982,-1.3337
245,TCGA-HT-7677,-0.0762,-0.1056,0.6083
246,TCGA-FG-8188,-1.3682,-1.3548,-1.3337
247,TCGA-DU-6393,-1.3682,-0.4823,-0.1534
248,TCGA-EZ-7264,-0.54,-1.1986,-0.7015
249,TCGA-S9-A6WO,-1.0058,-0.5521,-0.7889
250,TCGA-E1-A7YY,-1.3682,-1.2922,-0.8739
251,TCGA-DU-A7T8,0.6648,0.607,-0.0642
252,TCGA-VM-A8CF,-0.4966,0.2196,-1.3337
253,TCGA-HT-7468,-0.0808,0.5598,0.4787
254,TCGA-QH-A65R,-0.4425,-0.8856,-0.4743
255,TCGA-DB-A4XB,0.2079,0.0465,-1.3337
256,TCGA-HT-8110,1.409,1.3923,1.2852
257,TCGA-F6-A8O3,-1.1419,-0.5762,-1.3337
258,TCGA-R8-A6MK,-1.3682,-1.9298,-1.3337
259,TCGA-HT-7860,0.7778,0.9852,1.2265
260,TCGA-VM-A8CF,-0.4966,0.2196,-1.3337
261,TCGA-WY-A85E,-0.3632,-0.2122,-1.3337
262,TCGA-VM-A8CD,-0.2096,0.4438,-0.5906
263,TCGA-DU-7015,0.7424,0.4666,0.264
264,TCGA-VM-A8CB,-0.5306,-1.1904,-1.3337
265,TCGA-VM-A8CA,-0.95,0.2624,-0.7051
266,TCGA-HT-7858,0.9643,1.6798,0.1907
267,TCGA-DU-5851,-1.3682,-1.2158,-1.3337
268,TCGA-VM-A8CB,-0.5306,-1.1904,-1.3337
269,TCGA-RY-A83Y,-0.1546,0.1782,-1.3337
270,TCGA-VM-A8CH,-0.5335,-0.6235,-0.784
271,TCGA-DU-A76O,-0.5469,-0.3622,-1.3337
272,TCGA-VM-A8CF,-0.4966,0.2196,-1.3337
273,TCGA-VM-A8C8,-1.3682,-1.1448,-0.7385
274,TCGA-HT-7875,-1.3682,-1.9298,-0.9503
275,TCGA-E1-A7YE,0.3026,-0.1175,-0.6252
276,TCGA-FG-A4MT,-1.3682,-1.9298,-1.3337
277,TCGA-VM-A8C9,2.9269,2.3492,-0.6325
278,TCGA-VM-A8CA,-0.95,0.2624,-0.7051
279,TCGA-FG-5965,0.6099,1.0084,1.1981
280,TCGA-HT-7882,2.6264,2.5035,3.4362
281,TCGA-FG-A87Q,1.5114,1.4016,0.4457
282,TCGA-S9-A6U6,-1.3682,-1.4374,-0.8536
283,TCGA-HT-7607,-0.8807,-0.4251,0.2394
284,TCGA-FG-A713,-1.3682,-0.9691,-0.8235
285,TCGA-P5-A780,-0.3434,-0.2745,-0.2305
286,TCGA-DB-A4XH,-0.952,-1.1133,-1.3337
287,TCGA-DB-5281,-0.4043,0.0758,-0.0451
288,TCGA-HT-7470,-0.7294,-0.9451,-0.1579
289,TCGA-VM-A8C8,-1.3682,-1.1448,-0.7385
290,TCGA-TM-A84M,-1.0404,-1.9298,-0.4756
291,TCGA-HT-7481,-1.0604,-0.3809,-0.871
292,TCGA-TQ-A7RI,-1.0381,0.0096,-1.3337
293,TCGA-DB-5280,-1.3682,-0.7386,-0.9057
294,TCGA-HT-A74K,-0.6301,-0.069,-1.3337
295,TCGA-HT-7607,-0.8807,-0.4251,0.2394
296,TCGA-E1-A7Z6,-1.0032,-0.5464,-0.785
297,TCGA-S9-A6TS,-1.3682,-0.8486,-1.3337
298,TCGA-TM-A7CF,-0.952,-0.9555,-1.3337
299,TCGA-HT-7481,-1.0604,-0.3809,-0.871
300,TCGA-P5-A77W,-1.3682,-1.0218,-0.8624
301,TCGA-HT-7688,-0.8014,-0.4435,-0.4817
302,TCGA-FG-A6J3,2.651,1.9805,-0.7259
303,TCGA-FG-6688,-0.1585,0.2501,0.7513
304,TCGA-DU-A5TT,-1.0283,-0.2977,-1.3337
305,TCGA-DU-5871,-1.3682,-0.5344,-1.3337
306,TCGA-FG-8182,-0.8743,-0.325,-0.106
307,TCGA-FG-8188,-1.3682,-1.3548,-1.3337
308,TCGA-RY-A83Z,-1.3682,-0.5023,-1.3337
309,TCGA-DU-7006,1.3185,1.4365,1.2553
310,TCGA-CS-6669,-1.3682,-1.3888,-1.3337
311,TCGA-HT-7480,-1.1184,-1.3906,-0.6612
312,TCGA-VM-A8CH,-0.5335,-0.6235,-0.784
313,TCGA-DB-A64S,-0.0675,-0.0178,-1.3337
314,TCGA-DU-A7TB,-1.3682,-1.0671,-1.3337
315,TCGA-DU-A6S6,-0.9979,-1.1855,-1.3337
316,TCGA-HT-7608,-1.3682,-1.2716,-0.8557
317,TCGA-TM-A84M,-1.0404,-1.9298,-0.4756
318,TCGA-HT-7680,0.7481,0.6774,0.7796
319,TCGA-TQ-A7RK,-1.3682,-0.9599,-1.3337
320,TCGA-DB-5279,1.0194,1.2052,0.8376
321,TCGA-FG-7638,0.1371,0.1952,0.098
322,TCGA-DU-7298,-0.7732,-0.4801,-0.2336
323,TCGA-HT-8019,-1.3682,-1.4121,-1.3337
324,TCGA-HW-A5KL,-1.3682,-0.4786,-0.3942
325,TCGA-HT-7468,-0.0808,0.5598,0.4787
326,TCGA-QH-A65X,0.8576,0.7338,-0.7309
327,TCGA-VM-A8CD,-0.2096,0.4438,-0.5906
328,TCGA-FG-A711,-1.3682,-1.4034,-1.3337
329,TCGA-DU-6403,0.4685,0.614,0.1071
